seconds ,from ,comment 
6435,Valarie,This program is my #BOL Thank you Lisa! 
6420,Liona,I am ready to take action! 
6360,Dakota,I am going to build my legacy thanks to you Lisa! 
6320,Patricia ,I am will say YES! 
6318,Liona,I will not miss out on anymore opportunities!
6300,Phil,I am ready to learn your techniques! 
6259,Brett,Yes I am cliciking I choose abundance now
6205,Emma,Yes yes! I will watch it over again and again!
6177,Dakota,Thank you for this program Lisa! Clicking the button!
6104,Linda,I am ready to leap! 
6053,Britney ,Yes yes! In love with this program! 
6017,Tanisha,Yes I will join! 
6000,Dan,I am ready to shift my mind to an abundant mindset! 
5908,Alex,I can't wait! Time to step into ACTION!
5873,Mike,Thank you for this program Lisa! I am definitely going to enroll!!! 
5840,Valarie,I am ready to apply the prinicples! 
5775,Courtney,I am there!!!
5700,Liona,No way! I am definitely going to try!
5673,Doug,I am clicking the button now!
5617,Noel,3 easy payments of $197?! Sign me up!
5540,Anthony,I am so ready!
5517,Betty,I can bring a friend or family as well?! 
5482,Camilla,So much value! 
5415,Stephanie,Thank you so much Lisa! 
5400,Megan,Wow! This is so amazing! 
5396,Chris,I am clicking!!
5364,Betty,AND BONUSES! What?!
5328,Fiona,Wow! 
5277,Dan,It's time for me to have the life I desire!!!
5241,Logan,Wow all this at that price!
5201,Michelle,I need this program! 
5137,Brett,I am ready to live in this program
5070,Phil,So much value in one program!!!
5014,Tiffany,Bye limiting beliefs! I need this program!
4979,Elizabeth ,This sounds so amazing! 
4935,Courtney,Love this Lisa! Thank you so much! 
4915,Nicole,Sign me up!!!
4880,Ben,Thank you Lisa! I need some confidence!
4820,Lindsey,#YANA
4753,Hannah,Yes! I am ready! 
4712,Deron,Find the time to breath in gratitude
4669,Beth,I want to live abundantly right now! 
4643,Shawna ,I needed to hear that thank you Lisa!
4602,Luke,Woot woot Judy!
4516,Dan,I will watch more than twice! 
4463,Jennifer,#YANA
4407,Betty,Yes! Sister Brown!
4335,Drake,Yes I was always comparing myself to others. 
4301,Cheryl,WOW! #BOL
4276,Anthony,That sounds like me!
4185,Courtney,So true!
4120,Marcus,Lots of arguemnts around money. 
4072,Camilla,My parents were always working. 
4030,Lindsey,I did not have much money in my house.
3985,Charece ,Yes mine said that money corrupts! #YANA
3950,Tanya ,That is will burn my pocket! 
3846,Luther,This makes so much sense! Thank you Lisa!
3741,Mark,I am here and ready to change my money blueprint! 
3702,Hannah,ohh that is good!
3658,Cheryl,I am ready for this! 
3623,Linda,Shine bright Linda! 
3579,Britney ,Yes yes Linda! 
3547,Marcus,I am the creator of my destiny 
3480,Camilla,#BOL I need to change my negative inner conversations to positive ones. 
3455,Nicole,Wow! I never knew! 
3382,Kevin,it is time to shift my #mindset 
3353,Lauren,I am ready Lisa!
3321,Dan,I love this Lisa! So much insight! 
3280,Louis,It is not my job to dim my light! 
3273,Ted,Wow! #BOL My light will do good!
3214,Luther,Other peoples perception of me is none of my business! 
3152,Roberta,Put on your shades because I am going to shine! 
3120,Beth,Yes I want to press reset
3052,Luke,Leap afraid! 
3022,Patricia ,Abundant thinkers are willing to do it afraid! 
2960,Matt,Forgive myself so that I can get back up!
2930,Don ,I need to impress forgivness! 
2865,Sylvia ,Laser focused on my goal! #BOL
2813,Joann,I will be non negotiable!
2766,Doug,Spend my time in my dollar tasks! Yes yes!
2678,Elijah,#BOL
2646,Luis,What do I want in my future?
2608,Stephanie,I need to push my limit line!
2560,Katie,Expand your limit line
2501,Mike,#BOL Fail forward!
2420,Phil,I need to give myself permission to fail! 
2387,Deron,I will be an abundant thinker! 
2326,Charece ,Abundant thinkers make decision on logic not emotion. 
2265,Jen,Micro wins will lead me to my Macro wins!
2245,Charece ,Yes yes #BOL Focus on the micro wins!
2205,Julia,Ok I will be kind to myself!
2110,Tanya ,All results created on the outside are created on the inside! #BOL
2050,Michelle,I am ready to claim my abundance! 
1996,Betty,I want more abundance in my life!
1950,Anthony,I am ready to rewrite my story!
1913,Jonathan,Abundance is my birth right! 
1875,Brett,Yes! Thank you Lisa! 
1764,Cheryl,I am making money to buy better memories
1736,Emma,#BOL relationships!
1670,Stephanie,Abundance is a complete experience
1605,Nicole,Abundance is for everyone!
1590,Tan,#YANA
1530,Don ,Privilaged circumstances are only for some people! MYTH!
1511,Ronald,This is good to know!
1448,Jon,I have the freedom to pursue what I want!
1393,Tanisha,Abundance is about so much more!
1331,Brett,Yes Val! I want to learn! 
1295,Andy,Go Phil! 
1258,Charece ,yes! I am tired waiting! I want to start NOW! 
1216,Julia,thank you Lisa!
1190,Cheryl,I am ready for my breath taking future! 
1183,Mike,Yes show me so that I can transfor my life!
1104,Lanette,Yes! How do I get mine?!
1060,Charece ,wow! That is so amazing Lisa! You are an angel!
1015,Marcus,Woot woot! Go Lisa!
995,Mike,Yes! I am ready to learn the tools to change my life!
910,Stephanie,I am ready to change my life! 
875,Kevin,Yes yes! 
840,Deron,#YANA
818,Nicole,That is how I feel
776,Michelle,You inspire me to get out of my dark place
760,Robert,I know that feeling! 
740,Flor,Wow! 
710,Tanisha,"Now look, you have rasied an amazing boy!"
708,Tanisha,thank you for sharing and being vulnerable Lisa
663,Ronald,I have a distinct moment in my mind right now
630,Betty,I want to be unforgettable!
590,Julia,Wow! #BOL who do I want to be remembered as? 
559,Cheryl,Yes! #BOL #YANA
530,Mark,That sounds like me!
494,Dawn,I am going to buy it and read that book
464,Mike,I want to switch my life!
453,Betty,"I am on the half not, but I am ready for that to change!"
439,Michelle,I too dropped out because of money :(
423,Charece ,You are brilliant Lisa!
414,Hayley,I also struggled in school =[
360,Jen,Wow did you prove him wrong!
314,Deron,Thank you for sharing your story Lisa
299,Julia,You are amazing Lisa! <3
293,Marcus,I love your journey Lisa! 
287,Nicole,I am ready to live my abundant life! 
259,Amanda,I always watch your show Lisa! It helps me so much! 
247,Mike,I love your youtube channel Lisa! 
238,Preeti,So happy to be here :)
221,Danny,Yes! Here for my breakthough! 
211,Camilla,I love this! #BOL #YANA
199,Katie,I love my tribe!
189,Ronald,You Are Not Alone!
176,Tanisha,I am ready for my #BOL
165,Jonny,#BOL 
150,Beth,Hi Lisa! And everyone around the world!
139,Jen,I love you Lisa! You are my mentor!
119,Charece ,I am ready! Pen in hand!
114,Phil,This is my time!
101,Cheryl,I am ready to live my dreams! 
79,Roberta,Thank you Lisa! 
74,Mike,Can't wait to learn! 
71,Deron,You are such an inspiration Lisa!
70,Michelle,It is time to change my money blueprint!
64,Matt, Hi Lisa!
54,Lauren,Wow! I want to change my money blueprint! 
30,Julia,I love your YouTube show Lisa! 
23,Stephanie,Yes Yes! I am ready to have an abundant mindset! 
17,Roberta,#BOL Abundance is your mindset
15,Ben,I have been waiting for this training all week! 
13,Mike,Hi Lisa :)
6,Margaret,I can't wait!!!
5,Doug,Hi everyone! So excited for this! 
